> Ready on http://192.168.1.90:\\.\pipe\db2841ee-e5de-44fd-b92b-d8700ff294e7
> Access locally via http://localhost:\\.\pipe\db2841ee-e5de-44fd-b92b-d8700ff294e7
> Access on network via http://192.168.1.90:\\.\pipe\db2841ee-e5de-44fd-b92b-d8700ff294e7
2025-01-11T13:07:43.390Z - GET /customers?_rsc=1ivqj
2025-01-11T13:07:43.392Z - GET /purchases?_rsc=1ivqj
2025-01-11T13:07:43.394Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:07:43.395Z - GET /favicon.ico
2025-01-11T13:07:43.397Z - GET /accounting?_rsc=1ivqj
2025-01-11T13:07:43.673Z - GET /settings
2025-01-11T13:07:43.718Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:07:43.719Z - GET /_next/static/chunks/webpack-19a384338f044d80.js
2025-01-11T13:07:43.719Z - GET /_next/static/chunks/fd9d1056-77540d000af5c602.js
2025-01-11T13:07:43.720Z - GET /_next/static/chunks/117-1a2c1c91a94a8ba1.js
2025-01-11T13:07:43.720Z - GET /_next/static/chunks/main-app-17d6e2c17441c568.js
2025-01-11T13:07:43.721Z - GET /_next/static/chunks/569-fab4c67d1d71a58a.js
2025-01-11T13:07:43.724Z - GET /_next/static/chunks/app/settings/page-2525888b7c19c94f.js
2025-01-11T13:07:43.725Z - GET /_next/static/chunks/972-a66b60d967c1a951.js
2025-01-11T13:07:43.727Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:07:43.739Z - GET /_next/static/media/a34f9d1faa5f3315-s.p.woff2
2025-01-11T13:07:43.774Z - GET /?_rsc=1ivqj
2025-01-11T13:07:43.775Z - GET /customers?_rsc=1ivqj
2025-01-11T13:07:43.776Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:07:43.777Z - GET /purchases?_rsc=1ivqj
2025-01-11T13:07:43.779Z - GET /favicon.ico
2025-01-11T13:07:43.781Z - GET /accounting?_rsc=1ivqj
2025-01-11T13:07:44.078Z - GET /settings
2025-01-11T13:07:44.122Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:07:44.123Z - GET /_next/static/chunks/webpack-19a384338f044d80.js
2025-01-11T13:07:44.123Z - GET /_next/static/chunks/fd9d1056-77540d000af5c602.js
2025-01-11T13:07:44.124Z - GET /_next/static/chunks/117-1a2c1c91a94a8ba1.js
2025-01-11T13:07:44.124Z - GET /_next/static/chunks/main-app-17d6e2c17441c568.js
2025-01-11T13:07:44.124Z - GET /_next/static/chunks/569-fab4c67d1d71a58a.js
2025-01-11T13:07:44.128Z - GET /_next/static/chunks/app/settings/page-2525888b7c19c94f.js
2025-01-11T13:07:44.130Z - GET /_next/static/chunks/972-a66b60d967c1a951.js
2025-01-11T13:07:44.131Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:07:44.141Z - GET /_next/static/media/a34f9d1faa5f3315-s.p.woff2
2025-01-11T13:07:44.177Z - GET /?_rsc=1ivqj
2025-01-11T13:07:44.178Z - GET /customers?_rsc=1ivqj
2025-01-11T13:07:44.179Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:07:44.181Z - GET /favicon.ico
2025-01-11T13:07:44.182Z - GET /purchases?_rsc=1ivqj
2025-01-11T13:07:44.184Z - GET /accounting?_rsc=1ivqj
2025-01-11T13:07:44.435Z - GET /settings
2025-01-11T13:07:44.479Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:07:44.480Z - GET /_next/static/chunks/fd9d1056-77540d000af5c602.js
2025-01-11T13:07:44.481Z - GET /_next/static/chunks/webpack-19a384338f044d80.js
2025-01-11T13:07:44.481Z - GET /_next/static/chunks/117-1a2c1c91a94a8ba1.js
2025-01-11T13:07:44.481Z - GET /_next/static/chunks/569-fab4c67d1d71a58a.js
2025-01-11T13:07:44.482Z - GET /_next/static/chunks/main-app-17d6e2c17441c568.js
2025-01-11T13:07:44.486Z - GET /_next/static/chunks/app/settings/page-2525888b7c19c94f.js
2025-01-11T13:07:44.488Z - GET /_next/static/chunks/972-a66b60d967c1a951.js
2025-01-11T13:07:44.489Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:07:44.501Z - GET /_next/static/media/a34f9d1faa5f3315-s.p.woff2
2025-01-11T13:07:44.537Z - GET /?_rsc=1ivqj
2025-01-11T13:07:44.539Z - GET /customers?_rsc=1ivqj
2025-01-11T13:07:44.540Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:07:44.541Z - GET /purchases?_rsc=1ivqj
2025-01-11T13:07:44.546Z - GET /favicon.ico
2025-01-11T13:07:44.548Z - GET /accounting?_rsc=1ivqj
